GRB	z	dhour	flux	fluxerr	filtold	filtnew
071227	0.381	4.6	506.5	0.0	R	R
071227	0.381	7.7	3.842	0.0	R	R
071227	0.381	7.0	1.6	0.12	R	R
071227	0.381	4.1575	21.97	0.0	r*	r*
071227	0.381	29.0	0.3818	0.0	r*	r*
071227	0.381	0.5546	16.61	0.0	uvb	B
071227	0.381	0.7093	2.846	0.0	uvm2	uvm2
071227	0.381	0.5347	11.78	0.0	uvu	uvu
071227	0.381	0.1852	24.66	0.0	uvv	V
071227	0.381	0.5152	7.84	0.0	uvw1	uvw1
071227	0.381	0.5862	3.731	0.0	uvw2	uvw2
071227	0.381	29.0	0.6554	0.0	z*	z*
071227	0.381	4.1575	26.09	0.0	z*	z*
080905A	0.122	17.5	27.5	0.0	J	J
080905A	0.1218	8.5	1.164	0.6304	R	R
080905A	0.1218	36.0	0.4807	0.0	R	R
080905A	0.1218	14.3	0.9503	0.314	R	R
080905A	0.122	17.5	3.7	0.0	r*	r*
090515	0.403	1.4	39.4	0.0	J	J
090515	0.403	2.0	12.0	0.0	K	K
090515	0.403	25.0	0.092	0.033	r*	r*
090515	0.403	4440.0	0.042	0.0	r*	r*
090515	0.403	1.7	0.11	0.013	r*	r*
100117A	0.915	3.9	0.97	0.0	R	R
100117A	0.915	4.3	0.69	0.0	r*	r*
100117A	0.915	8.3	0.24	0.05	r*	r*
100206A	0.407	15.7	0.18	0.0	i*	i*
100206A	0.407	11.7	1.8	0.0	i*	i*
100206A	0.407	11.7	9.7	0.0	J	J
100625A	0.452	12.2	1.32	0.0	g*	g*
100625A	0.452	33.9	1.0	0.0	J	J
100816A	0.8049	0.55	30.07	9.571	I	I
100816A	0.8049	13.4	30.07	0.0	I	I
100816A	0.8049	8.03	12.73	1.228	i*	i*
100816A	0.8049	24.3	2.306	0.2225	R	R
100816A	0.8049	0.375	481.8	0.0	R	R
100816A	0.8049	0.407	76.35	24.3	R	R
100816A	0.8049	11.0	4.007	1.275	R	R
100816A	0.8049	2.8	23.06	7.339	R	R
100816A	0.8049	0.426	145.5	0.0	R	R
100816A	0.8049	0.371	837.2	0.0	R	R
100816A	0.8049	96.0	0.369	0.07464	r*	r*
100816A	0.8049	48.0	0.4437	0.08974	r*	r*
100816A	0.8049	13.4	22.92	0.0	Rc	R
100816A	0.8049	1.5405	19.9	7.569	uvb	B
100816A	0.8049	3.3429	3.263	0.0	uvm2	uvm2
100816A	0.8049	1.3069	14.66	5.575	uvu	uvu
100816A	0.8049	1.3162	10.71	14.74	uvv	V
100816A	0.8049	1.4317	5.368	2.682	uvw1	uvw1
100816A	0.8049	2.8944	1.402	0.0	uvw2	uvw2
100816A	0.8049	13.4	18.1	0.0	V	V
101219A	0.718	0.96	0.4	0.0	i*	i*
101219A	0.718	1.2	1.36	0.0	J	J
111117A	1.3	8.2	0.4	0.0	r*	r*
111117A	1.3	13.7	0.23	0.0	r*	r*
120804A	1.3	5.5	0.17	0.04	i*	i*
130603B	0.356	2.4	17.2	4.5	B	B
130603B	0.356	223.3	0.17	0.03	F160W	H
130603B	0.356	700.0	0.065	0.0	F160W	H
130603B	0.356	7.1	6.3	0.34	g*	g*
130603B	0.356	15.0	1.6	0.06	g*	g*
130603B	0.356	38.2	0.19	0.0	g*	g*
130603B	0.356	7.9	5.3	0.19	g*	g*
130603B	0.356	31.2	0.58	0.0	i*	i*
130603B	0.356	38.6	0.48	0.0	i*	i*
130603B	0.356	9.0	12.3	1.2	i*	i*
130603B	0.356	6.6	16.4	0.88	i*	i*
130603B	0.356	14.6	4.5	0.12	i*	i*
130603B	0.356	38.6	3.6	0.0	J	J
130603B	0.356	14.7	9.3	1.3	J	J
130603B	0.356	14.5	13.7	1.3	K	K
130603B	0.356	8.2	8.6	0.14	r*	r*
130603B	0.356	7.0	11.0	0.2	r*	r*
130603B	0.356	32.2	0.46	0.0	r*	r*
130603B	0.356	31.2	0.3	0.0	r*	r*
130603B	0.356	5.9	12.6	0.23	r*	r*
130603B	0.356	14.8	2.9	0.081	r*	r*
130603B	0.356	38.4	0.21	0.05	r*	r*
130603B	0.356	6.7	8.3	0.73	V	V
130603B	0.356	2.1	54.0	0.0	V	V
130603B	0.356	0.19	199.5	0.0	V	V
130603B	0.356	14.4	6.5	0.18	z*	z*
130603B	0.356	6.1	25.4	1.4	z*	z*
131004A	0.717	2.8	6.0	0.58	g*	g*
131004A	0.717	2.8	34.0	6.9	H	H
131004A	0.717	7.3	3.6	0.0	H	H
131004A	0.717	7.3	1.9	0.0	i*	i*
131004A	0.717	1.4	47.4	4.6	i*	i*
131004A	0.717	1.9	32.8	3.2	i*	i*
131004A	0.717	2.8	13.1	1.3	i*	i*
131004A	0.717	7.3	3.6	0.0	J	J
131004A	0.717	2.8	36.5	7.4	J	J
131004A	0.717	2.8	47.3	0.0	K	K
131004A	0.717	1.1	25.5	2.5	R	R
131004A	0.717	0.43	44.3	4.3	R	R
131004A	0.717	2.8	9.6	0.93	r*	r*
131004A	0.717	7.3	1.6	0.0	r*	r*
131004A	0.717	7.3	4.8	0.0	Y	Y
131004A	0.717	2.8	14.0	1.4	z*	z*
131004A	0.717	7.3	2.9	0.0	Zg	z*
140622A	0.959	0.07	11.4	0.0	J	J
140622A	0.959	0.07	0.8	0.0	r*	r*
141212A	0.596	5.4	11.1	0.0	I	I
150101B	0.134	352.0	1.58	0.0	H	H
150101B	0.134	231.0	7.59	0.0	J	J
150101B	0.134	349.0	3.98	0.0	J	J
150101B	0.134	39.8	2.26	0.34	r*	r*
150101B	0.134	63.6	1.4	0.38	r*	r*
150101B	0.134	257.0	0.76	0.0	r*	r*
150101B	0.134	694.0	0.53	0.0	r*	r*
